age,income,credit_score,employment_type,loan_amount,existing_loans,spending_ratio,loan_status
46,121448,524,0,195984,3,0.3474084875400195,0
34,99526,586,2,438601,2,0.7191742217538328,0
59,132387,468,0,151104,4,0.3032740373416943,0
47,36626,361,0,231086,0,0.35606269345346475,0
29,106005,648,2,181774,1,0.49718685701144383,0
35,126258,741,0,147957,0,0.2504787014812241,1
35,125573,313,0,276940,2,0.3488844425390909,0
46,27130,463,1,371727,3,0.3048376891388656,0
33,26828,719,0,168935,3,0.8659252480382882,0
52,77514,819,2,86014,0,0.3340681198814224,1
59,127148,847,0,168189,1,0.8032387971192756,0
52,132524,327,1,418969,2,0.2803587338866259,0
24,124635,745,0,287469,1,0.8087711926117551,1
50,72664,507,0,405237,2,0.6196036503914287,0
57,131701,769,0,478937,1,0.7947941462572325,0
43,37883,403,1,260152,0,0.8071440819761502,0
59,63059,725,2,58096,4,0.6174614714671863,0
35,104078,400,2,207476,2,0.8423859073765168,0
49,62932,840,1,149143,0,0.609813804039236,0
56,149900,821,1,331793,3,0.6987955545148627,0
33,81269,405,0,275185,3,0.49125633401818286,0
52,139850,576,2,218123,1,0.8398473861296911,0
27,95986,364,1,45058,3,0.7769137772384187,0
42,105959,487,2,53263,4,0.3166991781318492,0
48,22035,616,0,227574,2,0.6034714951432891,0
22,129767,437,1,109820,1,0.8277791303608624,0
26,60745,642,2,112645,2,0.7551451455612657,0
48,37241,404,2,180542,2,0.8737869464629275,0
48,72975,845,0,223898,0,0.36191118086331636,1
40,43154,679,1,494454,3,0.45722174319133463,1
50,45625,409,2,295367,2,0.5550343216126918,0
31,64950,844,0,300719,4,0.36286841901908545,1
48,118602,653,2,444015,4,0.47583167863217335,1
45,76396,616,0,245776,3,0.5762774430970328,0
59,119227,565,2,288805,3,0.33393744210093845,0
53,138920,364,2,480191,1,0.37968147309180644,0
21,33331,632,0,303576,1,0.2873897498661561,0
47,83927,812,1,235119,1,0.6993669869200239,0
33,106226,432,0,429363,3,0.4530863485752931,1
23,104719,839,1,34114,2,0.35418630722865185,1
59,83014,834,2,11030,0,0.5551269044266667,1
26,59346,795,2,357195,1,0.24777451397967337,1
28,90411,668,0,183501,0,0.8463846244228763,0
47,74478,398,0,314887,4,0.406127264810085,0
29,32254,616,1,231941,3,0.8205250437287035,0
57,75734,422,1,392900,4,0.5483340457272529,0
53,48621,619,1,332759,1,0.7951053483974484,0
44,136490,794,0,52577,2,0.37294510855275115,0
35,96441,756,2,492800,1,0.32268942156992714,1
52,66121,821,0,377580,0,0.7945882622643798,0
52,147386,819,2,7966,1,0.3490467176601976,1
44,101418,614,0,396500,2,0.722336744509706,0
32,80197,841,0,380982,2,0.44120865626174266,1
59,104577,778,1,8728,3,0.7237356085046129,0
22,114634,319,2,173376,3,0.835352386191831,0
23,138034,429,0,447493,2,0.8871469019011051,0
57,62431,592,0,240189,2,0.4518666340880434,0
37,137637,431,2,488546,0,0.45726808424838233,0
22,119245,655,0,137019,1,0.8869714157493982,0
22,120211,353,2,476317,3,0.8030696912086268,0
48,24837,686,1,348524,0,0.23156438033796464,0
43,131984,564,1,333274,1,0.6014149903585643,0
57,110025,514,2,26414,3,0.32687134008390684,0
52,103163,759,1,494442,0,0.8958087752652528,0
53,91232,757,2,480276,4,0.2972461086596816,1
21,68994,342,0,98005,4,0.5915433287800066,0
39,99079,577,0,417655,3,0.6656388590204282,0
22,32615,429,2,358886,0,0.8559452582578393,0
46,21466,649,0,456436,1,0.7930808181509308,0
52,50771,843,1,182857,1,0.3720283399294481,1
26,138645,405,0,304117,0,0.6008367659047531,0
52,103886,300,0,354235,4,0.8675017705341184,0
24,85911,731,2,209390,0,0.7150017929734565,0
31,118566,605,1,204268,4,0.6818354438659255,0
37,40746,826,0,250389,4,0.7284307554968095,0
58,108422,352,0,241232,1,0.42575433229147386,0
44,129884,819,2,142161,3,0.7104765885822653,0
25,80739,629,2,206926,2,0.36299832601284115,0
54,128440,624,1,329379,0,0.4996719396354274,0
26,118187,413,0,490357,4,0.8229501720319545,0
42,93369,446,2,34400,0,0.21327980254352621,0
31,21893,465,2,151477,3,0.4900230551766427,0
36,50573,678,2,384384,3,0.3867752367173417,1
53,116907,438,1,57763,2,0.3390127315455266,0
29,60874,598,2,428425,2,0.7870027950307585,0
26,97362,575,1,209670,4,0.6875490009914846,0
36,119956,477,1,153496,2,0.27884290428803726,0
49,107460,653,0,373954,4,0.5461243285508326,1
23,147021,453,0,356667,1,0.5268340402789777,0
40,138580,500,1,114955,4,0.29976945582058595,0
56,53367,414,0,156628,2,0.7598338906938458,0
39,41199,367,0,360281,0,0.45667178001793984,1
46,136600,744,2,417546,2,0.7333564426122761,0
23,111404,744,0,217338,3,0.3344438305575487,1
39,94328,625,1,139308,2,0.42055142312968263,0
40,77724,658,0,205288,1,0.2666196633918661,1
52,106133,444,2,297456,4,0.3004354888219257,0
27,56405,574,1,380831,3,0.8182284432469129,0
53,118232,808,0,419407,4,0.2763788509299043,1
59,128659,478,1,114602,4,0.26701184510016024,0
38,35989,776,0,219529,2,0.8582641175856618,0
21,48931,713,2,303784,0,0.6521324217625373,0
31,29290,452,0,367315,3,0.2706411884880936,0
48,58367,403,1,329437,1,0.880201717346236,0
45,141136,374,1,119124,1,0.302970007352308,0
43,99878,427,1,251921,0,0.7364420076997995,0
51,110477,644,0,434904,0,0.22439595314771055,0
50,99481,830,0,207301,2,0.6371792581378681,0
55,96298,458,0,90802,1,0.5826927104720271,0
27,146299,837,2,245324,3,0.34560266729771083,1
36,50133,725,2,359168,0,0.6502022999042913,0
46,132616,322,2,160194,0,0.6319370952241721,0
22,125686,346,1,177296,0,0.7588462008247836,0
21,47052,824,1,230612,3,0.8131118410203118,0
32,127286,443,1,404547,1,0.5570734584574962,0
25,105489,718,1,223174,3,0.5432066354389129,0
57,60475,384,1,378555,3,0.6351170396612884,0
52,102666,715,0,47262,2,0.7104453124608692,0
29,116622,781,1,383358,0,0.4493198207093122,1
55,77656,755,0,111435,1,0.5532493183563598,1
39,24633,596,2,91314,2,0.6095729300762214,0
36,37304,411,2,195664,2,0.8918646586851378,0
23,127573,529,2,169998,4,0.6113985375191416,0
40,117820,395,2,353431,0,0.3569305855195797,0
44,66546,677,2,124318,1,0.6115929007681825,0
53,27008,455,1,397278,1,0.7736497080643128,0
44,68291,720,1,392102,1,0.8001825760078336,0
31,47405,404,1,22528,0,0.7601753182151081,0
28,137069,629,2,5068,1,0.8217465907021893,0
56,56386,738,2,336397,3,0.43433643931538923,1
58,110909,431,0,347898,3,0.5552994346668634,0
40,40827,681,1,180040,0,0.7457137672052807,0
55,53040,437,2,358082,1,0.38511496553136887,0
45,80354,569,2,446839,4,0.46010700649619074,0
55,98543,849,2,495395,4,0.7818089581892085,0
45,38157,695,0,47129,4,0.7390599547343382,1
49,117693,763,2,259935,3,0.8798396975412623,0
38,55315,749,0,381140,4,0.897181840960255,0
38,55932,630,0,230760,1,0.3685211828799653,0
22,41164,552,1,66321,1,0.8303149903215714,0
55,34414,584,2,16526,4,0.2661608509450484,0
36,147597,573,0,228524,2,0.6968601462748388,0
56,34327,319,2,244583,4,0.35406957137288564,0
53,133880,538,1,489780,2,0.4102178098457939,0
24,20946,569,1,162781,0,0.8624248243651793,0
53,34693,717,0,112535,0,0.3842058657139483,0
34,47241,609,1,20063,1,0.6712245084124412,0
41,135194,330,1,140795,3,0.3246899555042793,0
40,115790,403,1,9213,1,0.2653729842993413,0
28,35540,485,2,289941,1,0.4375219177407051,0
27,92255,427,2,237842,3,0.6369372705526368,0
23,84757,509,0,89946,1,0.3735616006278568,0
37,61203,713,0,93918,3,0.4101181590701718,1
53,45081,580,1,181289,1,0.6961108730245186,0
32,81861,552,1,466499,0,0.27195721608695833,0
42,31350,318,0,28655,2,0.5128335642624552,0
42,75512,435,1,494100,1,0.8592141709175569,0
50,76809,522,0,214062,2,0.4778801636899575,0
58,121894,302,2,148659,4,0.5039407195842075,0
58,117557,535,1,289699,1,0.7167430125251022,0
28,62832,764,1,33071,0,0.7453080654229927,0
47,48369,527,1,287383,3,0.7387244728463671,0
47,51728,798,2,128441,0,0.8985069174395004,0
54,37576,820,2,364282,2,0.2500157612409401,0
41,49001,438,1,316295,3,0.8875772992430995,0
50,147625,575,0,7203,0,0.8651327318981792,0
53,103384,590,2,149707,0,0.7964972301816906,0
48,20390,352,1,188643,0,0.5178879030964292,0
53,107535,409,1,137216,3,0.809631660143747,0
25,65436,303,2,430915,0,0.3545826886142666,0
39,31569,346,0,220691,0,0.7541590847714812,0
24,33029,393,1,358807,2,0.3296668121847379,0
55,42490,512,0,396988,0,0.7707534024298257,0
37,65875,735,0,279357,0,0.6301703932848398,0
48,143552,807,2,21944,4,0.26862189565946787,1
50,120864,504,1,71723,3,0.8267236887500578,0
49,25867,680,1,204741,4,0.604570036818671,0
26,100820,372,0,73947,2,0.6593737946959802,0
55,119515,815,2,170529,4,0.398457024956127,1
57,29121,375,2,40191,1,0.8101448527459645,0
44,21539,376,2,252129,3,0.5816405146074944,0
49,111024,709,0,256767,0,0.49478419900405246,1
51,37027,405,0,77264,4,0.5739972216598223,0
55,147402,775,1,193996,4,0.6923191570274436,0
53,94229,574,2,431960,0,0.686533512989489,0
41,28921,387,0,451640,0,0.4503039706704689,0
52,70435,376,2,486633,2,0.46968079607438235,0
43,142368,376,0,214409,4,0.5935667349868989,0
53,30310,741,1,474300,4,0.8470849845018915,0
23,83965,839,2,431102,1,0.7218011868761829,0
38,142033,544,0,366990,1,0.4732904897558896,0
45,131048,681,2,386694,4,0.4359228385862328,1
51,116444,441,0,89963,1,0.5665456718961202,0
23,89922,667,0,268116,4,0.8089939582402164,0
44,117799,383,0,366363,3,0.20607546911711264,0
52,113948,442,2,142693,2,0.6973402478026949,0
42,102839,651,0,227621,1,0.40615857880643685,1
43,32242,844,1,54738,4,0.3458782361513189,0
22,137027,451,2,193766,1,0.2084965977717312,0
47,132561,457,1,321921,2,0.8276134344378339,1
22,28947,745,1,281674,3,0.8385739290045084,0
46,132250,602,2,143426,0,0.2429922091506741,0
37,91466,749,0,313673,0,0.5652707261359524,1
53,123706,523,1,370039,1,0.30680212107152693,0
29,140351,342,2,318858,4,0.7310812882537918,0
59,144749,563,0,224831,2,0.6657740302363028,0
49,81816,302,2,129750,3,0.407991569068601,0
46,68785,567,2,439448,3,0.28187219672825575,0
55,139963,315,2,450295,3,0.7818544639651719,0
45,20507,633,0,125883,0,0.6719767354993957,0
44,86972,763,1,148622,2,0.20477396150178695,1
33,47151,358,1,262391,0,0.6395102466552737,0
27,31618,476,2,355340,1,0.7672072193874422,0
56,94286,362,2,327529,3,0.613537641703538,0
40,36122,606,0,331880,2,0.49729957367370375,0
21,27354,545,2,494781,3,0.6087428649796205,0
28,129598,588,2,297412,0,0.6337984397231431,0
36,50979,631,2,490092,0,0.6480242367594915,0
34,106436,826,1,140362,0,0.8769315377330544,0
32,99376,554,2,453250,3,0.32505345129085084,0
43,72774,809,1,297282,2,0.636165189119734,0
35,122703,762,0,470198,2,0.33159532374077916,1
48,25037,498,0,255927,1,0.3469697041743083,0
54,48633,570,1,391794,3,0.6684805185951568,0
22,44495,363,1,280576,1,0.841167859480388,0
52,84550,529,1,72058,1,0.3113309729694691,0
43,101384,548,1,63175,1,0.8737258736294982,1
42,56483,545,2,38329,1,0.4235606282113603,0
45,133181,456,1,467292,0,0.47391983041976005,0
42,93373,387,1,410544,1,0.3075765767571863,0
42,54069,612,1,432463,2,0.6310852740961552,0
26,27370,365,2,273821,1,0.617494346236777,0
35,139873,319,2,460026,0,0.5095888201718544,0
57,136843,332,2,55357,4,0.5332639729190352,0
53,91947,372,0,60812,4,0.6360831130508235,0
28,59133,642,2,46616,4,0.6084475744750508,0
25,116035,432,1,459500,3,0.4619843671538881,0
59,115761,354,2,447957,2,0.8188800697099066,0
24,133753,360,2,451694,0,0.6673623661891492,0
26,20692,819,1,190128,4,0.34378443141986614,0
52,48926,571,2,489699,0,0.4239320954540091,0
50,119782,545,0,312678,0,0.7515146711922776,0
55,124700,475,2,215128,3,0.2731677667140696,0
36,93984,616,0,69162,4,0.7251623991070077,0
33,63390,430,0,311855,1,0.4511897088020567,0
50,69593,401,0,158877,0,0.5861837322759049,0
39,95609,609,1,363124,4,0.3963906820209877,0
37,120950,591,2,287287,0,0.8905196002742994,0
39,25209,794,0,474044,3,0.834088204499613,1
48,146700,660,0,113380,3,0.8499148858609762,0
46,26533,637,2,198545,1,0.3293428625842617,0
57,106597,309,1,152089,3,0.7891830671732356,0
46,27211,348,1,461418,4,0.5747779707168632,0
43,29927,786,0,489075,3,0.6955014401915471,0
29,97463,620,1,46423,1,0.3522528467183125,1
32,137333,432,2,46713,2,0.6983892521854511,0
21,44594,382,1,486072,0,0.8399870712006072,0
21,94852,356,2,79310,0,0.3872369700941599,0
54,97713,675,0,269349,4,0.36335189608465457,1
52,96382,648,2,320410,1,0.2730901839314344,0
45,27933,570,0,148414,1,0.3867646727181627,0
21,123780,782,2,467779,1,0.5750545832709287,1
36,132157,410,2,199262,0,0.7829014040062923,0
59,60696,375,1,86863,3,0.3951601838603476,0
25,85449,457,2,157272,0,0.6348010723485193,0
42,87616,831,0,143260,0,0.535713489421128,1
49,26089,628,2,393377,0,0.40200532843244013,0
23,76548,421,0,269952,3,0.557251356836253,0
32,46123,340,0,280995,2,0.317573677477114,0
46,27797,466,2,479106,4,0.6477042918939626,1
36,70013,322,1,398126,2,0.2809639048286955,0
57,28346,578,2,201000,2,0.7116863676002596,0
42,105414,768,2,413274,0,0.324398874869855,1
49,53672,699,1,19620,2,0.8987114073218103,0
34,37653,308,0,450971,0,0.7765708163322884,0
48,69556,312,2,67995,0,0.4406882127018056,0
25,143723,351,1,494982,4,0.4983433406025186,0
50,128278,508,1,41681,1,0.3814337147753819,0
25,46140,849,0,331653,0,0.7369801928259994,0
32,21184,701,1,481555,2,0.4665088789704418,0
36,143626,490,0,72703,4,0.7286298568736749,0
46,54493,350,2,203752,2,0.2128810882761264,0
46,64148,692,1,465919,1,0.294934671653217,1
41,44846,599,2,244128,3,0.455482034291798,0
59,131361,495,1,309280,1,0.2762359733762149,0
56,42195,716,1,227452,4,0.6207895946073685,0
53,25606,719,2,360843,1,0.23558246897388632,0
50,23956,821,1,355600,1,0.8018340962125401,0
57,36555,655,2,88086,4,0.7329155991291876,0
43,110385,447,2,172415,4,0.3513795354595667,0
30,38690,664,0,384673,2,0.5386543342908025,0
25,78502,663,2,285398,0,0.5162691548876444,1
56,144586,701,0,328417,3,0.7074052307382643,0
54,68849,791,2,457827,3,0.4810562303321562,1
51,46347,528,1,122574,3,0.223054708480892,0
30,118725,836,2,119847,1,0.39161510119488707,1
39,123844,567,1,110547,4,0.5263370636659295,0
52,111321,704,0,458218,4,0.8821445513124473,0
21,69056,310,1,483899,4,0.8168110668680417,0
25,83851,619,2,17926,0,0.3269843008015333,0
24,118234,425,1,235431,4,0.7062931583435397,0
36,101502,605,0,462480,4,0.8557778311103512,0
44,116633,810,1,356671,1,0.20615482912468103,1
36,101418,388,1,374531,2,0.7046619715695781,0
22,90211,654,2,294707,3,0.5215334469278101,1
48,61850,651,2,428904,1,0.6761653373981777,0
52,98545,313,1,492775,1,0.6239124915002532,0
47,47843,556,0,170202,1,0.8892658461189911,0
40,82320,508,1,268069,3,0.4021707844085075,0
44,49793,580,0,56595,1,0.7503000873084853,0
32,59516,742,0,135249,2,0.3642479218191428,1
55,124407,688,0,21321,4,0.504925584285121,1
53,149045,782,1,408985,2,0.8827666117771882,0
53,37857,446,0,172820,4,0.7362954072099068,0
57,39627,578,1,176100,4,0.4210748793984913,0
32,81822,820,0,283295,1,0.6335584981643649,0
23,104101,733,0,81133,1,0.2347844584519425,1
21,111561,443,1,39187,3,0.38647644163467876,0
53,72248,588,2,48835,0,0.7028733427225302,0
30,75798,685,2,267203,2,0.5990654987118273,1
49,113368,313,1,499044,3,0.5287709970837406,0
33,64116,556,1,221789,3,0.6836132420111742,0
32,95318,645,2,32235,2,0.4789212235738782,0
51,124186,644,2,99208,2,0.21830930117268918,1
22,147119,699,2,72114,4,0.5087186364608971,1
55,107902,506,1,181438,0,0.8314904346052832,0
43,48557,471,0,134191,1,0.7996305898198848,0
37,91334,763,1,379975,0,0.48629802978665904,1
46,95163,569,2,389033,0,0.2155550085322679,0
28,126719,520,0,262057,1,0.645415090834221,0
49,143099,451,1,86583,0,0.7188360994480052,0
46,98002,482,2,37160,3,0.4059705032589924,0
30,62614,698,1,366155,3,0.5336647997337021,1
46,32720,371,0,488301,1,0.8942997566733959,1
54,77608,717,2,272421,1,0.6034401090871191,0
27,127449,582,1,399996,2,0.4457524339630966,0
24,122828,373,0,444795,2,0.6392422136480931,0
31,146613,654,0,384245,0,0.3260156148048592,1
49,92095,796,1,247521,0,0.339476661292206,1
56,125924,627,0,327894,1,0.8474473002998117,0
45,104694,834,2,61902,0,0.3674400288185315,1
41,116452,746,0,216270,4,0.4175525654510209,1
56,107593,672,1,121849,3,0.5806440693788277,0
30,55892,661,2,102052,0,0.8297848341943244,0
57,126975,392,0,132894,0,0.7470142228033101,0
29,97242,620,0,168233,2,0.23064874446891245,0
44,136041,623,2,442715,4,0.6851207682288585,0
55,146202,683,2,167958,0,0.552843037878795,1
55,97606,645,0,407016,3,0.5328869894016663,0
56,143769,402,2,54460,0,0.6840908567778802,0
38,138542,514,1,396568,1,0.33736243235333085,0
59,126438,491,0,75975,4,0.8870420645632038,1
52,20924,493,1,468059,0,0.6517145711907143,0
44,71322,679,0,400580,4,0.4559593222282993,0
43,46478,702,1,21568,0,0.6201415456491128,0
52,91042,310,1,174164,3,0.35152960430273417,0
57,66418,486,2,469235,3,0.6436893053984694,0
32,82217,314,0,67679,4,0.21975199851645816,0
33,120699,596,2,70781,2,0.4388273379858563,0
43,110140,710,2,275574,2,0.7232618277232545,0
45,100846,351,0,471935,1,0.765584494379898,0
55,93762,327,1,43692,2,0.37704358931977766,0
50,31781,316,0,35086,4,0.5775866228959905,0
37,25515,650,0,316815,2,0.5699450227823826,0
40,137358,727,0,234334,1,0.4950192324637463,1
45,56133,528,2,149973,0,0.359903087927085,0
42,102508,509,0,271051,2,0.6922597632601409,0
33,117628,730,0,234652,4,0.37665317722186376,1
39,96946,593,0,33604,4,0.8377180160096309,0
56,105058,403,1,42869,1,0.5699509037829518,0
32,29095,503,1,150609,1,0.8093348361174353,0
39,108583,352,1,148573,3,0.40351990456291476,0
32,40470,674,1,259557,3,0.7649554093811124,0
29,63129,353,2,124261,3,0.2795645094299948,0
27,28531,575,2,435587,0,0.7367812394051754,0
48,57038,634,0,381783,4,0.47086209494771153,0
34,107939,330,2,378834,3,0.5289930621730108,0
51,62674,434,1,435037,4,0.31676512418170094,0
39,147572,357,0,224804,1,0.21303938196707464,0
36,114658,404,0,392736,0,0.666338245189797,0
25,102476,565,1,273217,1,0.6114027983802928,0
55,49831,821,1,197077,4,0.6356997064487602,0
32,77174,795,1,474313,3,0.3785012306188439,1
45,31279,552,2,285245,1,0.3674942240181742,0
41,58220,594,0,429642,2,0.7812074178884734,0
56,80610,457,1,99877,0,0.7328769268152631,0
43,72719,848,0,274457,4,0.43575308108895244,1
36,144936,366,0,166845,3,0.6464640011829763,0
59,73051,598,2,426219,1,0.7797050029181698,1
59,92013,762,0,64668,0,0.8221806095525641,0
34,76652,400,1,359100,3,0.20406438263646987,0
51,85524,355,1,207322,1,0.7694236751943069,0
25,102936,631,0,120087,4,0.44527463397284806,0
55,26470,692,0,386595,2,0.7028647993433237,0
43,87598,680,2,97675,2,0.4599809552199997,1
49,61798,391,1,96634,4,0.6243743607558104,0
31,144517,746,1,440510,0,0.652747708004213,0
38,73473,408,0,149654,4,0.48349493964135826,0
32,39880,616,0,114119,1,0.5589497317964214,0
29,120117,467,0,149832,0,0.7084193603434179,0
30,64439,734,1,338935,2,0.5334136880864035,1
37,140944,741,0,349302,1,0.20978633955961662,1
58,34308,517,2,434199,3,0.20903293789826105,0
27,111563,521,2,438525,3,0.6629175950345755,0
33,116256,827,0,34715,3,0.7930662762189187,0
29,55081,577,2,434631,2,0.7496914762597975,0
47,95242,765,2,223400,4,0.41728021135321447,1
22,70383,329,2,355404,0,0.5297895194978681,0
25,29837,658,2,449797,2,0.36391251807116687,0
49,124135,587,2,139724,1,0.8924049374666707,0
57,72151,385,1,293441,1,0.38235451448216234,0
58,138128,533,0,234030,3,0.4913831149945566,0
39,56824,612,2,412244,0,0.6767902659270122,0
28,53073,664,0,149875,3,0.8132123687555433,0
21,132651,568,2,273451,1,0.2360329788469956,0
42,117624,430,1,429541,1,0.410713773218985,0
37,113648,650,1,325760,4,0.5982900935751223,0
27,46299,479,2,458699,4,0.6328191569633284,1
45,119993,779,2,429790,4,0.2490192069499026,1
24,78861,462,2,124828,3,0.6648551164894513,0
56,50063,395,1,220870,0,0.569645055926002,1
26,89453,809,1,465287,4,0.7793391655535011,1
51,141768,664,0,151004,2,0.3555324233458105,1
39,143299,652,1,413965,4,0.3365188895153133,1
59,88472,735,2,275871,3,0.7553360553495689,0
47,122166,382,0,191478,0,0.6927083902577313,0
30,34506,524,1,22332,4,0.7541713524043723,0
46,114341,711,1,493286,0,0.7473538987196555,0
39,99854,417,2,409050,2,0.2728004730813225,0
59,133604,781,0,156397,1,0.3950081331094056,1
23,46026,491,1,145285,0,0.3820595952955125,0
33,47672,406,1,380885,4,0.8542110969917878,0
48,58417,681,2,137475,3,0.5412266018352418,1
40,72413,689,0,324115,3,0.27773999289001217,1
48,144044,543,0,254271,3,0.40270453415101315,0
28,85066,767,0,452246,3,0.8103311539615299,0
59,79213,837,0,78042,0,0.7929464647157192,0
21,70971,509,2,100195,3,0.830237638408376,0
23,47281,372,1,143663,1,0.471970140915914,0
33,133978,608,1,394288,2,0.6489386730429976,0
48,48091,485,0,280140,0,0.3947217439127266,0
45,70494,552,0,319629,0,0.3265777318066617,0
53,123864,312,0,52830,3,0.21533075314845757,0
58,133755,598,1,39370,3,0.3564086647825446,0
26,38610,375,1,324716,0,0.623061895824591,0
52,21079,350,0,477224,3,0.8329472195247549,0
41,115386,448,2,296242,3,0.29339438725080924,0
36,66751,421,1,197633,3,0.8426080926758093,0
